No,Name,First,Last,Mat,Inn,NO.1,Runs,HS,Avg,Balls,Mdn,Runs_1,Wkt,BBM,Avg_2,Ca,St,strike_rate,consistency,batsman_score,bowler_score,economy
206,Manish Pandey,2015,2021,0.10256410256410256,24.0,7.0,0.04388277252287176,104*,0.5043939393939394,1.0,0.0,0.0,0.0,,0.0,10,0,0.08332106580303254,0.43173150266971777,0.23654870192303992,0.36025641025641025,0.0
227,Shubman Gill,2019,2023,0.08424908424908424,24.0,4.0,0.10164366568460226,208,0.9931818181818182,1.0,0.0,0.0,0.0,,0.0,15,0,0.19299278669218314,1.0,0.48003856697365027,0.35842490842490843,0.0
236,Suryakumar Yadav,2021,2023,0.08058608058608059,21.0,3.0,0.03357109629399907,64,0.36439393939393944,1.0,0.0,0.0,0.0,,0.0,14,0,0.063742087442956,0.3774654026370274,0.17945162607473142,0.35805860805860806,0.0
235,Ishan Kishan,2021,2023,0.047619047619047616,13.0,1.0,0.03954101411071484,210,0.6439393939393939,1.0,0.0,0.0,0.0,,0.0,5,2,0.07507728544089504,0.7181834184122514,0.29841663967285054,0.3547619047619047,0.0
241,Sanju Samson,2021,2022,0.03663003663003663,10.0,5.0,0.025585362071639015,86*,1.0,1.0,0.0,0.0,0.0,,0.0,7,2,0.04857941999116738,0.6041189931350115,0.3826160984922064,0.35366300366300363,0.0
231,Prithvi Shaw,2020,2021,0.018315018315018312,6.0,0.0,0.014653434641029616,49,0.4772727272727273,1.0,0.0,0.0,0.0,,0.0,2,0,0.027822758722214045,0.5766590389016019,0.21329827224429113,0.3518315018315018,0.0
230,Mayank Agarwal,2020,2020,0.014652014652014652,5.0,0.0,0.006667700418669561,32,0.2606060606060606,1.0,0.0,0.0,0.0,,0.0,2,0,0.012660091270425439,0.3148741418764302,0.11596638175693641,0.35146520146520144,0.0
245,Ruturaj Gaikwad,2022,2022,0.0,1.0,0.0,0.0014730966041246706,19,0.2878787878787879,1.0,0.0,0.0,0.0,,0.0,0,0,0.0027969969085823642,0.34782608695652173,0.12221376843746529,0.35,0.0
234,Prasidh Krishna,2021,2022,0.047619047619047616,5.0,3.0,0.00015506280043417584,2*,0.015151515151515152,674.0,0.10294117647058823,598.0,0.13089005235602094,4/12,0.14387969924812033,2,0,4.368260047762556e-07,0.007322654462242563,0.010078499660193302,0.3248681091136131,0.6172106824925816
205,Kedar Jadhav,2014,2020,0.26373626373626374,52.0,19.0,0.10769111490153511,120,0.6377272727272728,1187.0,0.014705882352941176,1020.0,0.14136125654450263,3/23,0.22718796992481205,33,0,0.0001722621693797235,0.48899841577187114,0.29355749403672404,0.3185489887543784,0.5977803010878723
239,Nitish Rana,2021,2021,0.0,1.0,0.0,0.0005427198015196154,7,0.10606060606060606,18.0,0.0,10.0,0.0,,0.0,0,0,5.724847473706594e-05,0.12814645308924486,0.04478281919617047,0.31135265700483095,0.3864734299516908
168,Rohit Sharma ,2007,2023,0.8864468864468864,236.0,34.0,0.7617460071328888,264,0.7368181818181819,593.0,0.029411764705882353,515.0,0.041884816753926704,2/27,0.3871879699248121,87,0,0.0024390249957239487,0.7621300857153939,0.5769494097938358,0.302598401134983,0.6041498643595571
220,Washington Sundar,2017,2023,0.054945054945054944,9.0,1.0,0.018064816250581484,51,0.4412121212121212,516.0,0.029411764705882353,435.0,0.08376963350785341,3/30,0.1634887218045113,4,0,6.64728967461945e-05,0.47393846936181033,0.18978481108115483,0.2938968470957785,0.5864509605662286
219,Shreyas Iyer,2017,2023,0.1501831501831502,38.0,3.0,0.12645371375407038,113*,0.706060606060606,37.0,0.0,39.0,0.0,,0.0,16,0,0.006489191974250123,0.7857400939419487,0.3386462326627719,0.2916928156058591,0.7332549941245593
223,Deepak Chahar,2018,2022,0.04395604395604395,9.0,3.0,0.01573887424406885,69*,0.5125757575757576,510.0,0.07352941176470588,489.0,0.08376963350785341,3/27,0.18381954887218047,1,0,5.8595497672055724e-05,0.41291634884312234,0.20340933398807912,0.2862772150819794,0.6670076726342711
242,Venkatesh Iyer,2022,2022,0.003663003663003663,2.0,0.0,0.00186075360521011,22,0.18181818181818182,30.0,0.0,28.0,0.0,,0.0,0,0,0.0001177682908876785,0.2196796338672769,0.07737434877250704,0.2854387641344163,0.6492753623188405
240,Chetan Sakariya,2021,2021,0.0,1.0,0.0,0.0,0*,0.0,48.0,0.0,34.0,0.010471204188481676,2/34,0.10225563909774436,2,0,0.0,0.0,0.0,0.279349209582116,0.4927536231884058
248,Arshdeep Singh,2022,2022,0.007326007326007325,1.0,0.0,0.0006977826019537913,9,0.13636363636363635,79.0,0.014705882352941176,89.0,0.0,,0.0,0,0,1.6770800917549154e-05,0.16475972540045766,0.05829630253245524,0.2745675419738193,0.7837094111172263
249,Umran Malik,2022,2023,0.02564102564102564,3.0,3.0,0.00015506280043417584,2*,0.0,330.0,0.029411764705882353,355.0,0.06806282722513089,3/57,0.1642105263157895,1,0,8.921840218763523e-07,0.012204424103737604,0.003823533720590338,0.2683130569631716,0.7483530961791831
237,Rahul Chahar,2021,2021,0.0,1.0,0.0,0.0010079082028221428,13,0.19696969696969696,60.0,0.0,54.0,0.015706806282722516,3/54,0.10827067669172932,0,0,3.1895578782079594e-05,0.2379862700228833,0.08314948703859848,0.26660635768798274,0.6260869565217392
243,Deepak Hooda,2022,2022,0.03296703296703297,7.0,1.0,0.011862304233214452,33,0.38636363636363635,150.0,0.014705882352941176,119.0,0.015706806282722516,1/6,0.2385563909774436,3,0,0.00015015457088179008,0.40013076168682576,0.16222198507550084,0.2469578046212711,0.5518840579710145
250,Kuldeep Sen,2022,2022,0.0,1.0,1.0,0.00015506280043417584,2*,0.0,30.0,0.0,37.0,0.010471204188481676,2/37,0.11127819548872181,0,0,9.814024240639875e-06,0.036613272311212815,0.0037025464372899856,0.24057183135393684,0.8579710144927537
247,Shahbaz Ahmed,2022,2022,0.007326007326007325,1.0,0.0,0.0,0,0.0,156.0,0.0,125.0,0.015706806282722516,2/32,0.2505864661654135,1,0,0.0,0.0,0.0007326007326007326,0.23862734661515017,0.5574136008918619
216,Jayant Yadav,2016,2022,0.003663003663003663,2.0,1.0,0.00023259420065126375,2,0.045454545454545456,84.0,0.0,61.0,0.005235602094240838,1/8,0.36691729323308275,1,0,5.257512986057075e-06,0.027459954233409613,0.01680812235441429,0.2102136195520407,0.505175983436853
238,Krishnappa Gowtham,2021,2021,0.0,1.0,0.0,0.00015506280043417584,2,0.030303030303030304,48.0,0.0,49.0,0.005235602094240838,1/49,0.2947368421052632,1,0,6.133765150399921e-06,0.036613272311212815,0.012792535463426517,0.20739553755775733,0.7101449275362319
232,T. Natarajan,2020,2021,0.003663003663003663,1.0,0.0,0.0,0*,0.0,120.0,0.014705882352941176,143.0,0.015706806282722516,2/70,0.2866766917293233,0,0,0.0,0.0,0.0003663003663003663,0.20428718157536202,0.8289855072463769
244,Avesh Khan,2022,2022,0.014652014652014652,2.0,0.0,0.0010079082028221428,10,0.09848484848484848,213.0,0.029411764705882353,214.0,0.015706806282722516,3/66,0.4290526315789474,3,0,8.984670079459041e-06,0.11899313501144165,0.04316419273002558,0.18500471613338373,0.6989181465605226
229,Navdeep Saini,2019,2021,0.02564102564102564,5.0,3.0,0.008295859823228406,45,0.8106060606060607,420.0,0.0,481.0,0.03141361256544503,2/58,0.4821654135338346,3,0,3.75035926338738e-05,0.3917620137299771,0.28700546297288404,0.16491945714678052,0.7966873706004141
246,Ravi Bishnoi,2022,2022,0.0,1.0,1.0,0.0003101256008683517,4*,0.0,48.0,0.0,69.0,0.005235602094240838,1/69,0.4150375939849624,0,0,1.2267530300799842e-05,0.07322654462242563,0.0074032527450348514,0.14833484234145572,1.0
175,Virat Kohli ,2008,2023,1.0,265.0,40.0,1.0,183,0.8684848484848485,641.0,0.014705882352941176,665.0,0.020942408376963352,1/15,1.0,141,0,0.002962120545766921,0.8910150684340055,0.7003874915252968,0.13841300238825477,0.7216984331547175
233,Krunal Pandya,2021,2021,0.014652014652014652,4.0,2.0,0.01007908202822143,58*,0.9848484848484849,228.0,0.014705882352941176,223.0,0.010471204188481676,1/26,0.6706766917293233,1,0,8.393573363705157e-05,0.5949656750572082,0.35895706886593237,0.12215072818286733,0.6803966437833715
