Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,100/50,Balls,Mdn,Runs.1,Wkt,BB,Avg.1,5wI,Ca,St,Ref
18,Jeff Hammond,1972,1.0,1.0,1.0,15,15*,,0/0,54,1.0,41,1.0,1/41,41.0,0.0,0.0,0.0,[21]
19,Ray Bright,1974–1986,11.0,8.0,4.0,66,19*,16.5,0/0,462,3.0,350,3.0,1/28,116.66,0.0,2.0,0.0,[22]
20,Ian Davis,1974–1977,3.0,3.0,1.0,12,11*,6.0,0/0,0,0.0,0,0.0,,,0.0,0.0,0.0,[23]
21,Geoff Dymock,1974–1980,15.0,7.0,4.0,35,14*,11.66,0/0,806,16.0,412,15.0,2/21,27.46,0.0,1.0,0.0,[24]
22,Gary Gilmour,1974–1975,5.0,2.0,1.0,42,28*,42.0,0/0,320,9.0,165,16.0,6/14,10.31,2.0,2.0,0.0,[25]
23,Max Walker,1974–1981,17.0,11.0,3.0,79,20,9.87,0/0,"1,006",24.0,546,20.0,4/19,27.3,0.0,6.0,0.0,[26]
24,Ashley Woodcock,1974–1974,1.0,1.0,0.0,53,53,53.0,0/1,0,0.0,0,0.0,,,0.0,0.0,0.0,[27]
25,Wally Edwards,1975,1.0,1.0,0.0,2,2,2.0,0/0,1,0.0,0,0.0,,,0.0,0.0,0.0,[28]
26,Alan Hurst,1975–1979,8.0,4.0,4.0,7,3*,,0/0,402,11.0,203,12.0,5/21,16.91,1.0,1.0,0.0,[29]
27,Terry Jenner,1975,1.0,1.0,0.0,12,12,12.0,0/0,64,1.0,28,0.0,,,0.0,0.0,0.0,[30]
28,Jeff Thomson,1975–1985,50.0,30.0,6.0,181,21,7.54,0/0,"2,696",37.0,"1,942",55.0,4/67,35.3,0.0,9.0,0.0,[31]
29,Rick McCosker,1975–1982,14.0,14.0,0.0,320,95,22.85,0/2,0,0.0,0,0.0,,,0.0,3.0,0.0,[32]
30,Alan Turner,1975,6.0,6.0,0.0,247,101,41.16,1/0,0,0.0,0,0.0,,,0.0,3.0,0.0,[33]
31,Gary Cosier,1975–1979,9.0,7.0,2.0,154,84,30.8,0/1,409,9.0,248,14.0,5/18,17.71,1.0,4.0,0.0,[34]
32,David Hookes,1977–1986,39.0,36.0,2.0,826,76,24.29,0/5,29,0.0,28,1.0,1/2,28.0,0.0,11.0,0.0,[35]
33,Mick Malone,1977–1982,10.0,7.0,3.0,36,15*,9.0,0/0,612,16.0,315,11.0,2/9,28.63,0.0,1.0,0.0,[36]
34,Kerry O'Keeffe,1977,2.0,2.0,1.0,16,16*,16.0,0/0,132,3.0,79,2.0,1/36,39.5,0.0,0.0,0.0,[37]
35,Len Pascoe,1977–1982,29.0,11.0,7.0,39,15*,9.75,0/0,"1,568",21.0,"1,066",53.0,5/30,20.11,1.0,6.0,0.0,[38]
36,Craig Serjeant,1977–1978,3.0,3.0,0.0,73,46,24.33,0/0,0,0.0,0,0.0,,,0.0,1.0,0.0,[39]
37,Kim Hughes,1977–1985,97.0,88.0,6.0,"1,968",98,24.0,0/17,1,0.0,4,0.0,,,0.0,27.0,0.0,[40]
38,Richie Robinson,1977,2.0,2.0,0.0,82,70,41.0,0/1,0,0.0,0,0.0,,,0.0,3.0,1.0,[41]
39,Ian Callen,1978–1982,5.0,3.0,2.0,6,3*,6.0,0/0,180,2.0,148,5.0,3/24,29.6,0.0,2.0,0.0,[42]
40,Wayne Clark,1978,2.0,0.0,0.0,0,,,0/0,100,3.0,61,3.0,2/39,20.33,0.0,0.0,0.0,[43]
41,Rick Darling,1978–1982,18.0,18.0,1.0,363,74,21.35,0/1,0,0.0,0,0.0,,,0.0,6.0,0.0,[44]
42,Trevor Laughlin,1978–1979,6.0,5.0,1.0,105,74,26.25,0/1,308,3.0,224,8.0,3/54,28.0,0.0,0.0,0.0,[45]
43,Steve Rixon,1978–1985,6.0,6.0,3.0,40,20*,13.33,0/0,0,0.0,0,0.0,,,0.0,9.0,2.0,[46]
44,Bob Simpson,1978,2.0,2.0,0.0,36,23,18.0,0/0,102,0.0,95,2.0,2/30,47.5,0.0,4.0,0.0,[47]
45,Peter Toohey,1978–1979,5.0,4.0,2.0,105,54*,52.5,0/1,0,0.0,0,0.0,,,0.0,0.0,0.0,[48]
46,Graeme Wood,1978–1989,83.0,77.0,11.0,"2,219",114*,33.62,3/11,0,0.0,0,0.0,,,0.0,17.0,0.0,[49]
47,Graham Yallop,1978–1984,30.0,27.0,6.0,823,66*,39.19,0/7,138,0.0,119,3.0,2/28,39.66,0.0,5.0,0.0,[50]
48,Bruce Yardley,1978–1983,7.0,4.0,0.0,58,28,14.5,0/0,198,5.0,130,7.0,3/28,18.57,0.0,1.0,0.0,[51]
49,Allan Border,1979–1994,273.0,252.0,39.0,"6,524",127*,30.62,3/39,"2,661",11.0,"2,071",73.0,3/20,28.36,0.0,127.0,0.0,[52]
50,Phil Carlson,1979,4.0,2.0,0.0,11,11,5.5,0/0,168,3.0,70,2.0,1/21,35.0,0.0,0.0,0.0,[53]
51,John Maclean,1979,2.0,1.0,0.0,11,11,11.0,0/0,0,0.0,0,0.0,,,0.0,0.0,0.0,[54]
52,Andrew Hilditch,1979–1985,8.0,8.0,0.0,226,72,28.25,0/1,0,0.0,0,0.0,,,0.0,1.0,0.0,[55]
53,Rodney Hogg,1979–1985,71.0,35.0,20.0,137,22,9.13,0/0,"3,677",57.0,"2,418",85.0,4/29,28.44,0.0,8.0,0.0,[56]
54,Kevin Wright,1979,5.0,2.0,0.0,29,23,14.5,0/0,0,0.0,0,0.0,,,0.0,8.0,0.0,[57]
55,Jeff Moss,1979,1.0,1.0,0.0,7,7,7.0,0/0,0,0.0,0,0.0,,,0.0,2.0,0.0,[58]
56,Graeme Porter,1979,2.0,1.0,0.0,3,3,3.0,0/0,108,5.0,33,3.0,2/13,11.0,0.0,1.0,0.0,[59]
57,Bruce Laird,1979–1982,23.0,23.0,3.0,594,117*,29.7,1/2,0,0.0,0,0.0,,,0.0,5.0,0.0,[60]
58,Julien Wiener,1979–1980,7.0,7.0,0.0,140,50,20.0,0/1,24,0.0,34,0.0,,,0.0,2.0,0.0,[61]
59,Dav Whatmore,1980,1.0,1.0,0.0,2,2,2.0,0/0,0,0.0,0,0.0,,,0.0,0.0,0.0,[62]
60,John Dyson,1980–1983,29.0,27.0,4.0,755,79,32.82,0/4,0,0.0,0,0.0,,,0.0,12.0,0.0,[63]
61,Trevor Chappell,1980–1983,20.0,13.0,0.0,229,110,17.61,1/0,736,4.0,538,19.0,3/31,28.31,0.0,8.0,0.0,[64]
62,Shaun Graf,1980–1981,11.0,6.0,0.0,24,8,4.0,0/0,522,4.0,345,8.0,2/23,43.12,0.0,1.0,0.0,[65]
63,Geoff Lawson,1980–1989,79.0,52.0,18.0,378,33*,11.11,0/0,"4,259",94.0,"2,592",88.0,4/26,29.45,0.0,18.0,0.0,[66]
64,Martin Kent,1981,5.0,5.0,1.0,78,33,19.5,0/0,0,0.0,0,0.0,,,0.0,4.0,0.0,[67]
65,Graeme Beard,1981,2.0,0.0,0.0,0,,,0/0,112,3.0,70,4.0,2/20,17.5,0.0,0.0,0.0,[68]
66,Terry Alderman,1981–1991,65.0,18.0,6.0,32,9*,2.66,0/0,"3,371",75.0,"2,056",88.0,5/17,23.36,2.0,29.0,0.0,[69]
67,Dirk Wellham,1981–1987,17.0,17.0,2.0,379,97,25.26,0/1,0,0.0,0,0.0,,,0.0,8.0,0.0,[70]
68,Greg Ritchie,1982–1987,44.0,42.0,7.0,959,84,27.4,0/6,0,0.0,0,0.0,,,0.0,9.0,0.0,[71]
69,Wayne B. Phillips,1982–1986,48.0,41.0,6.0,852,75*,24.34,0/6,0,0.0,0,0.0,,,0.0,42.0,7.0,[72]
70,Carl Rackemann,1983–1991,52.0,18.0,6.0,34,9*,2.83,0/0,"2,791",51.0,"1,833",82.0,5/16,22.35,1.0,6.0,0.0,[73]
71,Kepler Wessels[74],1983–1985,54.0,51.0,3.0,"1,740",107,36.25,1/14,737,2.0,655,18.0,2/16,36.38,0.0,19.0,0.0,[75]
72,John Maguire,1983–1984,23.0,11.0,5.0,42,14*,7.0,0/0,"1,009",12.0,769,19.0,3/61,40.47,0.0,2.0,0.0,[76]
73,Tom Hogan,1983–1984,16.0,12.0,4.0,72,27,9.0,0/0,917,12.0,574,23.0,4/33,24.95,0.0,10.0,0.0,[77]
74,Ken MacLeay,1983–1987,16.0,13.0,2.0,139,41,12.63,0/0,857,8.0,626,15.0,6/39,41.73,1.0,2.0,0.0,[78]
75,Steve Smith,1983–1985,28.0,24.0,2.0,861,117,39.13,2/8,7,0.0,5,0.0,,,0.0,8.0,0.0,[79]
76,Mike Whitney,1983–1993,38.0,13.0,7.0,40,9*,6.66,0/0,"2,106",43.0,"1,249",46.0,4/34,27.15,0.0,11.0,0.0,[80]
77,Roger Woolley,1983,4.0,3.0,2.0,31,16,31.0,0/0,0,0.0,0,0.0,,,0.0,1.0,1.0,[81]
78,Greg Matthews,1984–1993,59.0,50.0,13.0,619,54,16.72,0/1,"2,808",21.0,"2,004",57.0,3/27,35.15,0.0,23.0,0.0,[82]
79,Dean Jones,1984–1994,164.0,161.0,25.0,"6,068",145,44.61,7/46,106,0.0,81,3.0,2/34,27.0,0.0,54.0,0.0,[83]
80,David Boon,1984–1995,181.0,177.0,16.0,"5,964",122,37.04,5/37,82,0.0,86,0.0,,,0.0,45.0,0.0,[84]
81,Murray Bennett,1984–1985,8.0,4.0,1.0,9,6*,3.0,0/0,408,6.0,275,4.0,2/27,68.75,0.0,1.0,0.0,[85]
82,Craig McDermott,1985–1996,138.0,78.0,17.0,432,37,7.08,0/0,"7,461",101.0,"5,018",203.0,5/44,24.71,1.0,27.0,0.0,[86]
83,Simon O'Donnell,1985–1991,87.0,64.0,15.0,"1,242",74*,25.34,0/9,"4,350",49.0,"3,102",108.0,5/13,28.72,1.0,22.0,0.0,[87]
84,Bob Holland,1985,2.0,0.0,0.0,0,,,0/0,126,2.0,99,2.0,2/49,49.5,0.0,0.0,0.0,[88]
85,Rod McCurdy,1985,11.0,6.0,2.0,33,13*,8.25,0/0,515,8.0,375,12.0,3/19,31.25,0.0,1.0,0.0,[89]
86,Robbie Kerr,1985,4.0,4.0,1.0,97,87*,32.33,0/1,0,0.0,0,0.0,,,0.0,1.0,0.0,[90]
87,Simon Davis,1986–1988,39.0,11.0,7.0,20,6,5.0,0/0,"2,016",46.0,"1,133",44.0,3/10,25.75,0.0,5.0,0.0,[91]
88,Dave Gilbert,1986,14.0,8.0,3.0,39,8,7.8,0/0,684,4.0,552,18.0,5/46,30.66,1.0,3.0,0.0,[92]
89,Bruce Reid,1986–1992,61.0,21.0,8.0,49,10,3.76,0/0,"3,250",53.0,"2,203",63.0,5/53,34.96,1.0,6.0,0.0,[93]
90,Steve Waugh,1986–2002,325.0,288.0,58.0,"7,569",120*,32.9,3/45,"8,883",56.0,"6,761",195.0,4/33,34.67,0.0,111.0,0.0,[94]
91,Geoff Marsh,1986–1992,117.0,115.0,6.0,"4,357",126*,39.97,9/22,6,0.0,4,0.0,,,0.0,31.0,0.0,[95]
92,Glenn Trimble,1986,2.0,2.0,1.0,4,4,4.0,0/0,24,0.0,32,0.0,,,0.0,0.0,0.0,[96]
93,Tim Zoehrer,1986–1994,22.0,15.0,3.0,130,50,10.83,0/1,0,0.0,0,0.0,,,0.0,21.0,2.0,[97]
94,Greg Dyer,1986–1988,23.0,13.0,2.0,174,45*,15.81,0/0,0,0.0,0,0.0,,,0.0,24.0,4.0,[98]
95,Glenn Bishop,1987,2.0,2.0,0.0,13,7,6.5,0/0,0,0.0,0,0.0,,,0.0,1.0,0.0,[99]
96,Peter Taylor,1987–1992,83.0,47.0,25.0,437,54*,19.86,0/1,"3,937",33.0,"2,740",97.0,4/38,28.24,0.0,34.0,0.0,[100]
97,Mike Veletta,1987–1989,20.0,19.0,4.0,484,68*,32.26,0/2,0,0.0,0,0.0,,,0.0,8.0,0.0,[101]
98,Tom Moody,1987–1999,76.0,64.0,12.0,"1,211",89,23.28,0/10,"2,797",31.0,"2,014",52.0,3/25,38.73,0.0,21.0,0.0,[102]
99,Tim May,1987–1995,47.0,12.0,8.0,39,15,9.75,0/0,"2,504",17.0,"1,772",39.0,3/19,45.43,0.0,3.0,0.0,[103]
100,Andrew Zesers,1987,2.0,2.0,2.0,10,8*,,0/0,90,1.0,74,1.0,1/37,74.0,0.0,1.0,0.0,[104]
101,Tony Dodemaide,1988–1993,24.0,16.0,7.0,124,30,13.77,0/0,"1,327",30.0,753,36.0,5/21,20.91,1.0,7.0,0.0,[105]
102,Ian Healy,1988–1997,168.0,120.0,36.0,"1,764",56,21.0,0/4,0,0.0,0,0.0,,,0.0,194.0,39.0,[106]
103,Jamie Siddons,1988,1.0,1.0,0.0,32,32,32.0,0/0,0,0.0,0,0.0,,,0.0,0.0,0.0,[107]
104,Merv Hughes,1988–1993,33.0,17.0,8.0,100,20,11.11,0/0,"1,639",22.0,"1,115",38.0,4/44,29.34,0.0,6.0,0.0,[108]
105,Mark Waugh,1988–2002,244.0,236.0,20.0,"8,500",173,39.35,18/50,"3,687",11.0,"2,938",85.0,5/24,34.56,1.0,108.0,0.0,[109]
106,Greg Campbell,1989–1990,12.0,3.0,1.0,6,4*,3.0,0/0,613,9.0,404,18.0,3/17,22.44,0.0,4.0,0.0,[110]
107,Mark Taylor,1989–1997,113.0,110.0,1.0,"3,514",105,32.23,1/28,0,0.0,0,0.0,,,0.0,56.0,0.0,[111]
108,Paul Reiffel,1992–1999,92.0,57.0,21.0,503,58,13.97,0/1,"4,732",85.0,"3,096",106.0,4/13,29.2,0.0,25.0,0.0,[112]
109,Damien Martyn,1992–2006,208.0,182.0,51.0,"5,346",144*,40.8,5/37,794,2.0,704,12.0,2/21,58.66,0.0,69.0,0.0,[113]
110,Shane Warne[114],1993–2003,193.0,106.0,28.0,"1,016",55,13.02,0/1,"10,600",110.0,"7,514",291.0,5/33,25.82,1.0,80.0,0.0,[115]
111,Matthew Hayden[114],1993–2008,160.0,154.0,15.0,"6,131",181*,44.1,10/36,6,0.0,18,0.0,,,0.0,68.0,0.0,[116]
112,Brendon Julian,1993–1999,25.0,17.0,0.0,224,35,13.17,0/0,"1,146",11.0,997,22.0,3/40,45.31,0.0,8.0,0.0,[117]
113,Glenn McGrath[114],1993–2007,249.0,67.0,38.0,115,11,3.96,0/0,"12,928",279.0,"8,354",380.0,7/15,21.98,7.0,36.0,0.0,[118]
114,Michael Slater,1993–1997,42.0,42.0,1.0,987,73,24.07,0/9,12,1.0,11,0.0,,,0.0,9.0,0.0,[119]
115,Damien Fleming,1994–2001,88.0,31.0,18.0,152,29,11.69,0/0,"4,619",62.0,"3,402",134.0,5/36,25.38,1.0,14.0,0.0,[120]
116,Michael Bevan,1994–2004,232.0,196.0,67.0,"6,912",108*,53.58,6/46,"1,966",4.0,"1,655",36.0,3/36,45.97,0.0,69.0,0.0,[121]
117,Justin Langer,1994–1997,8.0,7.0,2.0,160,36,32.0,0/0,0,0.0,0,0.0,,,0.0,2.0,1.0,[122]
118,Jo Angel,1994–1995,3.0,1.0,0.0,0,0,0.0,0/0,162,3.0,113,4.0,2/47,28.25,0.0,0.0,0.0,[123]
119,Gavin Robertson,1994–1998,13.0,7.0,4.0,45,15,15.0,0/0,597,1.0,430,8.0,3/29,53.75,0.0,3.0,0.0,[124]
120,Phil Emery,1994,1.0,1.0,1.0,11,11*,,0/0,0,0.0,0,0.0,,,0.0,3.0,0.0,[125]
121,Stuart Law,1994–1999,54.0,51.0,5.0,"1,237",110,26.89,1/7,807,3.0,635,12.0,2/22,52.91,0.0,12.0,0.0,[126]
122,Greg Blewett,1995–1999,32.0,30.0,3.0,551,57*,20.4,0/2,749,3.0,646,14.0,2/6,46.14,0.0,7.0,0.0,[127]
123,Ricky Ponting[114],1995–2012,374.0,364.0,39.0,"13,589",164,41.81,29/82,150,0.0,104,3.0,1/12,34.66,0.0,159.0,0.0,[128]
124,Shane Lee,1995–2001,45.0,35.0,8.0,477,47,17.66,0/0,"1,706",14.0,"1,245",48.0,5/33,25.93,1.0,23.0,0.0,[129]
125,Michael Kasprowicz,1995–2005,43.0,13.0,9.0,74,28*,18.5,0/0,"2,225",28.0,"1,674",67.0,5/45,24.98,2.0,13.0,0.0,[130]
126,Brad Hogg,1996–2008,123.0,65.0,26.0,790,71*,20.25,0/2,"5,564",37.0,"4,188",156.0,5/32,26.84,2.0,36.0,0.0,[131]
127,Jason Gillespie,1996–2005,97.0,39.0,16.0,289,44*,12.56,0/0,"5,144",79.0,"3,611",142.0,5/22,25.42,3.0,10.0,0.0,[132]
128,Darren Lehmann,1996–2005,117.0,101.0,22.0,"3,078",119,38.96,4/17,"1,793",3.0,"1,445",52.0,4/7,27.78,0.0,26.0,0.0,[133]
129,Adam Gilchrist[114],1996–2008,286.0,278.0,11.0,"9,595",172,35.93,16/55,0,0.0,0,0.0,,,0.0,416.0,54.0,[134]
130,Andy Bichel,1997–2004,67.0,36.0,13.0,471,64,20.47,0/1,"3,257",28.0,"2,463",78.0,7/20,31.57,2.0,19.0,0.0,[135]
131,Anthony Stuart,1997,3.0,1.0,0.0,1,1,1.0,0/0,180,2.0,109,8.0,5/26,13.62,1.0,2.0,0.0,[136]
132,Adam Dale,1997–2000,30.0,12.0,8.0,78,15*,19.5,0/0,"1,596",34.0,979,32.0,3/18,30.59,0.0,11.0,0.0,[137]
133,Michael Di Venuto,1997,9.0,9.0,0.0,241,89,26.77,0/2,0,0.0,0,0.0,,,0.0,1.0,0.0,[138]
134,Matthew Elliott,1997,1.0,1.0,0.0,1,1,1.0,0/0,0,0.0,0,0.0,,,0.0,0.0,0.0,[139]
135,Ian Harvey,1997–2004,73.0,51.0,11.0,715,48*,17.87,0/0,"3,279",29.0,"2,577",85.0,4/16,30.31,0.0,17.0,0.0,[140]
136,Paul Wilson,1997–1998,11.0,5.0,2.0,4,2,1.33,0/0,562,6.0,450,13.0,3/39,34.61,0.0,1.0,0.0,[141]
137,Jimmy Maher,1998–2003,26.0,20.0,3.0,438,95,25.76,0/1,0,0.0,0,0.0,,,0.0,18.0,0.0,[142]
138,Brad Young,1998–1999,6.0,3.0,1.0,31,18,15.5,0/0,234,0.0,251,1.0,1/26,251.0,0.0,2.0,0.0,[143]
139,Andrew Symonds,1998–2009,198.0,161.0,33.0,"5,088",156,39.75,6/30,"5,935",30.0,"4,955",133.0,5/18,37.25,1.0,82.0,0.0,[144]
140,Brett Lee,2000–2012,221.0,110.0,44.0,1176,59,17.81,0/3,"11,185",138.0,"8,877",380.0,5/22,23.36,9.0,54.0,0.0,[145]
141,Stuart MacGill,2000,3.0,2.0,1.0,1,1,1.0,0/0,180,4.0,105,6.0,4/19,17.5,0.0,2.0,0.0,[146]
142,Nathan Bracken,2001–2009,116.0,35.0,18.0,199,21*,11.7,0/0,"5,759",91.0,"4,240",174.0,5/47,24.36,2.0,26.0,0.0,[147]
143,Simon Katich,2001–2006,45.0,42.0,5.0,"1,324",107*,35.78,1/9,0,0.0,0,0.0,,,0.0,13.0,0.0,[148]
144,Brad Haddin,2001–2015,126.0,115.0,16.0,"3,122",110,31.53,2/16,0,0.0,0,0.0,,,0.0,170.0,11.0,[149]
145,Brad Williams,2002–2004,25.0,6.0,4.0,27,13*,13.5,0/0,"1,203",19.0,814,35.0,5/22,23.25,2.0,4.0,0.0,[150]
146,Ryan Campbell,2002,2.0,2.0,0.0,54,38,27.0,0/0,0,0.0,0,0.0,,,0.0,4.0,1.0,[151]
147,Nathan Hauritz,2002–2011,58.0,32.0,17.0,336,53*,22.4,0/1,"2,724",12.0,"2,152",63.0,4/29,34.15,0.0,24.0,0.0,[152]
148,Shane Watson,2002–2015,190.0,169.0,27.0,"5,757",185*,40.54,9/33,"6,466",35.0,"5,342",168.0,4/36,31.79,0.0,64.0,0.0,[153]
149,Michael Clarke,2003–2015,245.0,223.0,44.0,"7,981",130,44.58,8/58,"2,585",7.0,"2,146",57.0,5/35,37.64,1.0,106.0,0.0,[154]
150,Michael Hussey,2004–2012,185.0,157.0,44.0,"5,442",109*,48.15,3/39,240,1.0,235,2.0,1/22,117.5,0.0,105.0,0.0,[155]
151,James Hopes,2005–2010,84.0,61.0,8.0,"1,326",63*,25.01,0/3,"3,157",32.0,"2,384",67.0,5/14,35.58,1.0,25.0,0.0,[156]
152,Cameron White,2005–2018,91.0,77.0,16.0,"2,072",105,33.96,2/11,331,2.0,351,12.0,3/5,29.25,0.0,37.0,0.0,[157]
153,Stuart Clark,2005–2009,39.0,12.0,7.0,69,16*,13.8,0/0,"1,829",18.0,"1,477",53.0,4/54,27.86,0.0,10.0,0.0,[158]
154,Brad Hodge,2005–2007,25.0,21.0,2.0,575,123,30.26,1/3,66,0.0,51,1.0,1/17,51.0,0.0,16.0,0.0,[159]
155,Mick Lewis,2005–2006,7.0,1.0,1.0,4,4*,,0/0,341,1.0,391,7.0,3/56,55.85,0.0,1.0,0.0,[160]
156,Mitchell Johnson,2005–2015,153.0,91.0,32.0,951,73*,16.11,0/2,"7,489",72.0,"6,038",239.0,6/31,25.26,3.0,35.0,0.0,[161]
157,Brett Dorey,2006,4.0,1.0,0.0,2,2,2.0,0/0,162,2.0,146,2.0,1/12,73.0,0.0,0.0,0.0,[162]
158,Phil Jaques,2006–2007,6.0,6.0,0.0,125,94,20.83,0/1,0,0.0,0,0.0,,,0.0,3.0,0.0,[163]
159,Dan Cullen,2006,5.0,1.0,1.0,2,2*,,0/0,213,4.0,147,2.0,2/25,73.5,0.0,2.0,0.0,[164]
160,Mark Cosgrove,2006,3.0,3.0,0.0,112,74,37.33,0/1,30,0.0,13,1.0,1/1,13.0,0.0,0.0,0.0,[165]
161,Ben Hilfenhaus,2007–2012,25.0,11.0,8.0,29,16,9.66,0/0,"1,216",16.0,"1,075",29.0,5/33,37.06,1.0,10.0,0.0,[166]
162,Shaun Tait,2007–2011,35.0,7.0,5.0,25,11,12.5,0/0,"1,688",11.0,"1,461",62.0,4/39,23.56,0.0,8.0,0.0,[167]
163,Adam Voges,2007–2013,31.0,28.0,9.0,870,112*,45.78,1/4,301,1.0,276,6.0,1/3,46.0,0.0,7.0,0.0,[168]
164,Ashley Noffke,2008,1.0,0.0,0.0,0,,,0/0,54,0.0,46,1.0,1/46,46.0,0.0,0.0,0.0,[169]
165,Shaun Marsh,2008–2019,73.0,72.0,4.0,"2,773",151,40.77,7/15,0,0.0,0,0.0,,,0.0,22.0,0.0,[170]
166,Luke Ronchi[171],2008,4.0,2.0,0.0,76,64,38.0,0/1,0,0.0,0,0.0,,,0.0,5.0,2.0,[172]
167,David Hussey,2008–2013,69.0,61.0,6.0,"1,796",111,32.65,1/14,802,1.0,698,18.0,4/21,38.77,0.0,29.0,0.0,[173]
168,Brett Geeves,2008–2009,2.0,2.0,2.0,10,10*,,0/0,90,0.0,78,3.0,2/11,26.6,0.0,1.0,0.0,[174]
169,Ryan Harris,2009–2012,21.0,13.0,7.0,48,21,8.0,0/0,"1,031",13.0,832,44.0,5/19,18.9,3.0,6.0,0.0,[175]
170,David Warner,2009–2023,161.0,159.0,6.0,"6,932",179,45.3,22/33,6,0.0,8,0.0,,,0.0,71.0,0.0,[176]
171,Callum Ferguson,2009–2011,30.0,25.0,9.0,663,71*,41.43,0/5,0,0.0,0,0.0,,,0.0,7.0,0.0,[177]
172,Peter Siddle,2009–2019,20.0,6.0,3.0,31,10*,10.33,0/0,901,10.0,743,17.0,3/55,43.7,0.0,1.0,0.0,[178]
173,Ben Laughlin,2009–2009,5.0,1.0,1.0,1,1*,,0/0,224,1.0,219,4.0,1/28,54.75,0.0,2.0,0.0,[179]
174,Shane Harwood,2009,1.0,1.0,1.0,0,0*,,0/0,60,0.0,57,2.0,2/57,28.5,0.0,0.0,0.0,[180]
175,Doug Bollinger,2009–2011,39.0,8.0,2.0,50,30,8.33,0/0,"1,942",28.0,"1,482",62.0,5/35,23.9,2.0,12.0,0.0,[181]
176,Marcus North,2009,2.0,2.0,0.0,6,5,3.0,0/0,18,0.0,16,0.0,,,0.0,1.0,0.0,[182]
177,Dirk Nannes,2009,1.0,1.0,0.0,1,1,1.0,0/0,42,1.0,20,1.0,1/20,20.0,0.0,0.0,0.0,[183]
178,Tim Paine,2009–2018,35.0,35.0,3.0,890,111,27.81,1/5,0,0.0,0,0.0,,,0.0,51.0,4.0,[184]
179,Moises Henriques,2009–2021,16.0,15.0,2.0,117,22,9.0,0/0,402,1.0,347,8.0,3/32,43.37,0.0,6.0,0.0,[185]
180,Graham Manou,2009,4.0,1.0,0.0,7,7,7.0,0/0,0,0.0,0,0.0,,,0.0,5.0,0.0,[186]
181,Clint McKay,2009–2014,59.0,31.0,10.0,190,30,9.04,0/0,"2,965",38.0,"2,364",97.0,5/28,24.37,2.0,7.0,0.0,[187]
182,Steve Smith,2010–,170.0,154.0,20.0,"5,800",164,43.28,12/35,"1,076",1.0,971,28.0,3/16,34.67,0.0,90.0,0.0,[188]
183,Josh Hazlewood,2010–,96.0,38.0,29.0,135,23*,15.0,0/0,"4,978",65.0,"3,928",142.0,6/52,27.66,3.0,32.0,0.0,[189]
