Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,100/50,Balls,Mdn,Runs.1,Wkt,BB,Avg.1,5wI,Ca,St,Ref,Role
150,Michael Hussey,2004–2012,185,157,44,"5,442",109*,48.15,Mar-39,240,1,235,2,Jan-22,117.5,0,105,0,[155],Batsman
151,James Hopes,2005–2010,84,61,8,"1,326",63*,25.01,0/3,"3,157",32,"2,384",67,May-14,35.58,1,25,0,[156],AllRounder
152,Cameron White,2005–2018,91,77,16,"2,072",105,33.96,02-Nov,331,2,351,12,03-May,29.25,0,37,0,[157],Batsman
153,Stuart Clark,2005–2009,39,12,7,69,16*,13.8,0/0,"1,829",18,"1,477",53,Apr-54,27.86,0,10,0,[158],Bowler
154,Brad Hodge,2005–2007,25,21,2,575,123,30.26,01-Mar,66,0,51,1,Jan-17,51,0,16,0,[159],Batsman
155,Mick Lewis,2005–2006,7,1,1,4,4*,,0/0,341,1,391,7,Mar-56,55.85,0,1,0,[160],Batsman
156,Mitchell Johnson,2005–2015,153,91,32,951,73*,16.11,0/2,"7,489",72,"6,038",239,Jun-31,25.26,3,35,0,[161],Bowler
157,Brett Dorey,2006,4,1,0,2,2,2,0/0,162,2,146,2,01-Dec,73,0,0,0,[162],Batsman
158,Phil Jaques,2006–2007,6,6,0,125,94,20.83,0/1,0,0,0,0,,,0,3,0,[163],Batsman
159,Dan Cullen,2006,5,1,1,2,2*,,0/0,213,4,147,2,Feb-25,73.5,0,2,0,[164],Batsman
160,Mark Cosgrove,2006,3,3,0,112,74,37.33,0/1,30,0,13,1,01-Jan,13,0,0,0,[165],Batsman
161,Ben Hilfenhaus,2007–2012,25,11,8,29,16,9.66,0/0,"1,216",16,"1,075",29,May-33,37.06,1,10,0,[166],Bowler
162,Shaun Tait,2007–2011,35,7,5,25,11,12.5,0/0,"1,688",11,"1,461",62,Apr-39,23.56,0,8,0,[167],Bowler
163,Adam Voges,2007–2013,31,28,9,870,112*,45.78,01-Apr,301,1,276,6,01-Mar,46,0,7,0,[168],Batsman
164,Ashley Noffke,2008,1,0,0,0,,,0/0,54,0,46,1,Jan-46,46,0,0,0,[169],Batsman
165,Shaun Marsh,2008–2019,73,72,4,"2,773",151,40.77,Jul-15,0,0,0,0,,,0,22,0,[170],Batsman
166,Luke Ronchi[171],2008,4,2,0,76,64,38,0/1,0,0,0,0,,,0,5,2,[172],Wicketkeeper
167,David Hussey,2008–2013,69,61,6,"1,796",111,32.65,Jan-14,802,1,698,18,Apr-21,38.77,0,29,0,[173],Batsman
168,Brett Geeves,2008–2009,2,2,2,10,10*,,0/0,90,0,78,3,02-Nov,26.6,0,1,0,[174],Batsman
169,Ryan Harris,2009–2012,21,13,7,48,21,8,0/0,"1,031",13,832,44,May-19,18.9,3,6,0,[175],Bowler
170,David Warner,2009–2023,161,159,6,"6,932",179,45.3,22/33,6,0,8,0,,,0,71,0,[176],Batsman
171,Callum Ferguson,2009–2011,30,25,9,663,71*,41.43,0/5,0,0,0,0,,,0,7,0,[177],Batsman
172,Peter Siddle,2009–2019,20,6,3,31,10*,10.33,0/0,901,10,743,17,Mar-55,43.7,0,1,0,[178],Batsman
173,Ben Laughlin,2009–2009,5,1,1,1,1*,,0/0,224,1,219,4,Jan-28,54.75,0,2,0,[179],Batsman
174,Shane Harwood,2009,1,1,1,0,0*,,0/0,60,0,57,2,Feb-57,28.5,0,0,0,[180],Batsman
175,Doug Bollinger,2009–2011,39,8,2,50,30,8.33,0/0,"1,942",28,"1,482",62,May-35,23.9,2,12,0,[181],Bowler
176,Marcus North,2009,2,2,0,6,5,3,0/0,18,0,16,0,,,0,1,0,[182],Batsman
177,Dirk Nannes,2009,1,1,0,1,1,1,0/0,42,1,20,1,Jan-20,20,0,0,0,[183],Batsman
178,Tim Paine,2009–2018,35,35,3,890,111,27.81,01-May,0,0,0,0,,,0,51,4,[184],Wicketkeeper
179,Moises Henriques,2009–2021,16,15,2,117,22,9,0/0,402,1,347,8,Mar-32,43.37,0,6,0,[185],Batsman
180,Graham Manou,2009,4,1,0,7,7,7,0/0,0,0,0,0,,,0,5,0,[186],Batsman
181,Clint McKay,2009–2014,59,31,10,190,30,9.04,0/0,"2,965",38,"2,364",97,May-28,24.37,2,7,0,[187],Bowler
182,Steve Smith,2010–,170,154,20,"5,800",164,43.28,Dec-35,"1,076",1,971,28,Mar-16,34.67,0,90,0,[188],Batsman
183,Josh Hazlewood,2010–,96,38,29,135,23*,15,0/0,"4,978",65,"3,928",142,Jun-52,27.66,3,32,0,[189],Bowler
184,John Hastings,2010–2017,29,21,11,271,51,27.1,0/1,"1,486",7,"1,256",42,Jun-45,29.9,1,5,0,[190],Bowler
185,Mitchell Starc,2010–,130,77,27,583,52*,11.66,0/1,"6,638",56,"5,826",247,Jun-28,23.58,9,47,0,[191],Bowler
186,Xavier Doherty,2010–2013,60,23,16,101,15*,14.42,0/0,"2,792",17,"2,224",55,Apr-28,40.43,0,19,0,[192],Bowler
187,Jason Krejza,2011,8,2,1,13,7,13,0/0,425,0,331,7,Feb-28,47.28,0,2,0,[193],Batsman
188,James Pattinson,2011–2015,15,8,4,42,13,10.5,0/0,727,6,681,16,Apr-51,42.56,0,3,0,[194],Batsman
