No,Name,First,Last,Mat,Inn,NO.1,Runs,HS,Avg,Balls,Mdn,Runs_1,Wkt,BBM,Avg_2,Ca,St,strike_rate,consistency,economy,bowler_score
225,Mohammed Siraj,2019,2023,0.08424908424908424,10.0,5.0,30.0,9,6.0,1118.0,0.27941176470588236,891.0,0.22513089005235604,4/32,0.12463157894736843,5,0,2.6833631484794274,3.0,0.5544061600684451,0.40379051840804664
213,KL Rahul  ,2016,2023,0.19413919413919414,52.0,8.0,1986.0,112,45.13,1.0,0.0,0.0,0.0,,0.0,32,2,198600.0,38.19230769230769,0.0,0.3694139194139194
218,Shardul Thakur,2017,2023,0.12454212454212453,21.0,6.0,298.0,50*,19.86,1541.0,0.1323529411764706,1599.0,0.2617801047120419,4/52,0.19236090225563912,7,0,19.338092147955873,14.19047619047619,0.7218350591089919,0.3667454640406908
224,Rishabh Pant ,2018,2022,0.10622710622710622,26.0,1.0,865.0,125*,34.6,1.0,0.0,0.0,0.0,,0.0,26,1,86500.0,33.26923076923077,0.0,0.3606227106227106
206,Manish Pandey,2015,2021,0.10256410256410256,24.0,7.0,566.0,104*,33.29,1.0,0.0,0.0,0.0,,0.0,10,0,56600.0,23.583333333333332,0.0,0.36025641025641025
227,Shubman Gill,2019,2023,0.08424908424908424,24.0,4.0,1311.0,208,65.55,1.0,0.0,0.0,0.0,,0.0,15,0,131100.0,54.625,0.0,0.35842490842490843
236,Suryakumar Yadav,2021,2023,0.08058608058608059,21.0,3.0,433.0,64,24.05,1.0,0.0,0.0,0.0,,0.0,14,0,43300.0,20.61904761904762,0.0,0.35805860805860806
235,Ishan Kishan,2021,2023,0.047619047619047616,13.0,1.0,510.0,210,42.5,1.0,0.0,0.0,0.0,,0.0,5,2,51000.0,39.23076923076923,0.0,0.3547619047619047
241,Sanju Samson,2021,2022,0.03663003663003663,10.0,5.0,330.0,86*,66.0,1.0,0.0,0.0,0.0,,0.0,7,2,33000.0,33.0,0.0,0.35366300366300363
231,Prithvi Shaw,2020,2021,0.018315018315018312,6.0,0.0,189.0,49,31.5,1.0,0.0,0.0,0.0,,0.0,2,0,18900.0,31.5,0.0,0.3518315018315018
230,Mayank Agarwal,2020,2020,0.014652014652014652,5.0,0.0,86.0,32,17.2,1.0,0.0,0.0,0.0,,0.0,2,0,8600.0,17.2,0.0,0.35146520146520144
245,Ruturaj Gaikwad,2022,2022,0.0,1.0,0.0,19.0,19,19.0,1.0,0.0,0.0,0.0,,0.0,0,0,1900.0,19.0,0.0,0.35
234,Prasidh Krishna,2021,2022,0.047619047619047616,5.0,3.0,2.0,2*,1.0,674.0,0.10294117647058823,598.0,0.13089005235602094,4/12,0.14387969924812033,2,0,0.2967359050445104,0.4,0.6172106824925816,0.3248681091136131
205,Kedar Jadhav,2014,2020,0.26373626373626374,52.0,19.0,1389.0,120,42.09,1187.0,0.014705882352941176,1020.0,0.14136125654450263,3/23,0.22718796992481205,33,0,117.01769165964618,26.71153846153846,0.5977803010878723,0.3185489887543784
239,Nitish Rana,2021,2021,0.0,1.0,0.0,7.0,7,7.0,18.0,0.0,10.0,0.0,,0.0,0,0,38.88888888888889,7.0,0.3864734299516908,0.31135265700483095
168,Rohit Sharma ,2007,2023,0.8864468864468864,236.0,34.0,9825.0,264,48.63,593.0,0.029411764705882353,515.0,0.041884816753926704,2/27,0.3871879699248121,87,0,1656.8296795952783,41.63135593220339,0.6041498643595571,0.302598401134983
220,Washington Sundar,2017,2023,0.054945054945054944,9.0,1.0,233.0,51,29.12,516.0,0.029411764705882353,435.0,0.08376963350785341,3/30,0.1634887218045113,4,0,45.15503875968992,25.88888888888889,0.5864509605662286,0.2938968470957785
219,Shreyas Iyer,2017,2023,0.1501831501831502,38.0,3.0,1631.0,113*,46.6,37.0,0.0,39.0,0.0,,0.0,16,0,4408.108108108108,42.921052631578945,0.7332549941245593,0.2916928156058591
223,Deepak Chahar,2018,2022,0.04395604395604395,9.0,3.0,203.0,69*,33.83,510.0,0.07352941176470588,489.0,0.08376963350785341,3/27,0.18381954887218047,1,0,39.80392156862745,22.555555555555557,0.6670076726342711,0.2862772150819794
242,Venkatesh Iyer,2022,2022,0.003663003663003663,2.0,0.0,24.0,22,12.0,30.0,0.0,28.0,0.0,,0.0,0,0,80.0,12.0,0.6492753623188405,0.2854387641344163
240,Chetan Sakariya,2021,2021,0.0,1.0,0.0,0.0,0*,0.0,48.0,0.0,34.0,0.010471204188481676,2/34,0.10225563909774436,2,0,0.0,0.0,0.4927536231884058,0.279349209582116
248,Arshdeep Singh,2022,2022,0.007326007326007325,1.0,0.0,9.0,9,9.0,79.0,0.014705882352941176,89.0,0.0,,0.0,0,0,11.39240506329114,9.0,0.7837094111172263,0.2745675419738193
249,Umran Malik,2022,2023,0.02564102564102564,3.0,3.0,2.0,2*,0.0,330.0,0.029411764705882353,355.0,0.06806282722513089,3/57,0.1642105263157895,1,0,0.6060606060606061,0.6666666666666666,0.7483530961791831,0.2683130569631716
237,Rahul Chahar,2021,2021,0.0,1.0,0.0,13.0,13,13.0,60.0,0.0,54.0,0.015706806282722516,3/54,0.10827067669172932,0,0,21.666666666666668,13.0,0.6260869565217392,0.26660635768798274
243,Deepak Hooda,2022,2022,0.03296703296703297,7.0,1.0,153.0,33,25.5,150.0,0.014705882352941176,119.0,0.015706806282722516,1/6,0.2385563909774436,3,0,102.0,21.857142857142858,0.5518840579710145,0.2469578046212711
