Cap,Name,First,Last,Mat,Runs,HS,Avg,50,100,Balls,Wkt,BBI,Ave,5WI,Ca,St,Role,Selected
204,Glenn Phillips,2022,2026,47,1262,106*,42.06,5,2,816,16,Mar-37,51.56,0,29,—,AllRounder,0.0
205,Jacob Duffy,2022,2025,19,12,4*,12,0,0,862,35,Mar-35,24.25,0,4,—,Bowler,0.0
206,Dane Cleaver,2022,2022,1,32,32,32,0,0,—,—,—,—,—,2,—,Wicketkeeper,0.0
207,Henry Shipley,2023,2023,8,18,7,3.6,0,0,387,15,May-31,23.93,1,2,—,Bowler,0.0
208,Chad Bowes,2023,2023,6,99,51,16.5,1,0,—,—,—,—,—,4,—,Batsman,0.0
209,Rachin Ravindra,2023,2025,39,1424,123*,41.88,6,5,979,21,Apr-60,45.28,0,14,—,AllRounder,0.0
210,Cole McConchie,2023,2023,6,126,64*,42,1,0,168,4,Feb-18,33.75,0,3,—,AllRounder,0.0
211,Ben Lister,2023,2023,3,10,5*,10,0,0,156,4,Mar-69,39.5,0,0,—,Bowler,0.0
212,Dean Foxcroft,2023,2023,1,0,0,0,0,0,—,—,—,—,—,0,—,AllRounder,0.0
213,Josh Clarkson,2023,2023,3,17,16,8.5,0,0,72,3,Feb-24,24.33,0,1,—,AllRounder,0.0
214,William O'Rourke,2023,2025,17,6,3*,3,0,0,844,22,Mar-43,36.27,0,4,—,Bowler,0.0
215,Adithya Ashok,2023,2026,3,10,10,10,0,0,97,2,Jan-55,60,0,1,—,Bowler,0.0
216,Mitchell Hay,2024,2026,10,186,99*,31,1,0,—,—,—,—,—,14,—,Wicketkeeper,0.0
217,Tim Robinson,2024,2024,3,48,35,16,0,0,—,—,—,—,—,0,—,Batsman,0.0
218,Nathan Smith,2025,2025,14,43,17,6.14,0,0,523,18,Apr-42,32.5,0,7,—,AllRounder,0.0
219,Zak Foulkes,2024,2026,9,49,22*,24.5,0,0,361,13,Apr-41,25.92,0,3,—,AllRounder,0.0
220,Ben Sears,2025,2025,4,11,6,11,0,0,206,10,May-34,19.7,2,1,—,Bowler,0.0
221,Muhammad Abbas,2025,2025,3,104,52,34.66,1,0,60,2,Jan-16,29.5,0,1,—,Batsman,0.0
222,Nick Kelly,2025,2025,3,49,31,16.33,0,0,—,—,—,—,—,0,—,Batsman,0.0
223,Rhys Mariu,2025,2025,2,76,58,38,1,0,—,—,—,—,—,0,—,Batsman,0.0
224,Kristian Clarke,2026,2026,3,35,24*,35,0,0,162,7,Mar-54,26.14,0,2,—,Batsman,0.0
225,Jayden Lennox,2026,2026,2,—,—,—,—,—,120,3,Feb-42,28,0,0,—,Batsman,0.0
